Classifier,ROCKET-500+HCF-6,ROCKET-500+HCF-0,ROCKET-517+HCF-0
ROCKET-500+HCF-6,-,"
0.0071 / 0.007
0.0001
69 / 14 / 45
0.0698","
0.0083 / 0.0064
0.0019
67 / 10 / 51
0.0818"
ROCKET-500+HCF-0,"
0.007 / 0.0071
-0.0001
45 / 14 / 69
0.0698",-,"
0.0053 / 0.0064
-0.0012
69 / 11 / 48
0.1383"
ROCKET-517+HCF-0,"
0.0064 / 0.0083
-0.0019
51 / 10 / 67
0.0818","
0.0064 / 0.0053
0.0012
48 / 11 / 69
0.1383",-
